id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
963331798545853893,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,159885470,Boston Short Term Rentals,,Roxbury,42.33415260645609,-71.07720211024676,Private room,48,1,3,2023-11-19,1.11,12,195,3,STR-537585
963350456006301467,Rental unit in Boston · ★4.25 · 1 bedroom · 1 bed · 1 bath,159885470,Boston Short Term Rentals,,Roxbury,42.33329,-71.07675,Private room,44,1,4,2023-11-30,1.25,12,207,4,STR-537585
963638294449412751,Rental unit in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,275849638,Steven,,Fenway,42.34909022215199,-71.09523336919413,Entire home/apt,129,1,12,2023-11-02,3.10,71,255,12,STR-438671
963712891329091474,Rental unit in Boston · ★4.67 · 1 bedroom · 3 beds · 1 bath,331225367,Stone,,Downtown,42.3662,-71.06326,Entire home/apt,126,1,12,2023-12-12,4.14,68,65,12,STR-531165
963739180827526692,Rental unit in Boston · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,69267172,Lynda,,West Roxbury,42.27763,-71.15947,Shared room,45,1,12,2023-11-26,3.21,9,13,12,STR-513970
963783297835812701,Rental unit in Boston · ★4.86 · 1 bedroom · 3 beds · 1 bath,331225367,Stone,,West End,42.364500316156295,-71.06486051926203,Entire home/apt,120,1,13,2023-12-17,4.02,68,0,13,STR-531165
963792616319536906,Rental unit in Boston · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,331225367,Stone,,Back Bay,42.35326,-71.07948,Entire home/apt,262,1,9,2023-11-25,2.78,68,252,9,STR-531165
964019794586434113,Rental unit in Boston · ★4.25 · 1 bedroom · 1 bed · 1 shared bath,159885470,Boston Short Term Rentals,,Roxbury,42.3337,-71.07516,Private room,44,1,4,2023-12-02,1.22,12,349,4,STR-537585
964946317221888957,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Back Bay,42.34603,-71.07867759999999,Entire home/apt,129,32,0,,,339,365,0,
965239465161822121,Home in Boston · 1 bedroom · 1 bed · 1 shared bath,531619936,Abibatu,,Roslindale,42.27047,-71.13058,Private room,110,1,0,,,2,264,0,STR-538071
965769862121915466,Rental unit in Boston · 2 bedrooms · 2 beds · 2 baths,8898973,Adriana & Gianni,,Roxbury,42.3240913,-71.0907016,Entire home/apt,105,91,0,,,4,269,0,Exempt: This listing is a unit used for furnished institutional or business stays
965781819200867020,Rental unit in Boston · ★4.33 · 1 bedroom · 1 bed · 1 bath,525275764,Patrice,,Dorchester,42.2991,-71.08097,Private room,185,29,3,2023-10-15,0.84,8,225,3,STR-538915
965812379978856490,Rental unit in Boston · 1 bedroom · 1 bed · 0 shared baths,297860058,Ferran,,Allston,42.35940848769415,-71.12787674245394,Private room,47,91,0,,,146,337,0,
966203830909322738,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,342519983,Marquis Escapes,,South Boston,42.33815,-71.03516,Private room,70,91,0,,,6,352,0,
966208194607702591,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,342519983,Marquis Escapes,,South Boston,42.33661532636998,-71.03493836024303,Private room,62,91,0,,,6,269,0,
966238412053359769,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,342519983,Marquis Escapes,,South Boston,42.33808,-71.03502,Private room,66,91,0,,,6,363,0,
966243471186297526,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,342519983,Marquis Escapes,,South Boston,42.33631,-71.03487,Private room,65,91,0,,,6,364,0,
966327672123441954,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,316148588,TemplePlace,,Downtown,42.35455,-71.06312,Private room,206,29,1,2023-10-06,0.40,5,0,1,STR-439290
966493045068030637,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,525275764,Patrice,,Dorchester,42.29904,-71.08196,Private room,82,29,1,2023-09-03,0.28,8,45,1,STR-538915
966906912802026740,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,163848078,Adam,,Mission Hill,42.33456326880065,-71.10233378262134,Entire home/apt,309,29,1,2023-11-04,0.65,88,0,1,STR-564798
966924264198926530,Rental unit in Boston · ★5.0 · 2 bedrooms · 3 beds · 1 bath,160661353,Shira,,Brighton,42.34372357126928,-71.15170223466356,Entire home/apt,220,2,4,2023-12-03,3.24,2,87,4,STR-542383
967311247275960043,Rental unit in Boston · 5 bedrooms · 1 bed · 0 shared baths,297860058,Ferran,,Allston,42.35678,-71.13208,Private room,44,91,0,,,146,171,0,
967313361451480487,Rental unit in Boston · 5 bedrooms · 1 bed · 0 shared baths,297860058,Ferran,,Allston,42.355220308466,-71.13235895067348,Private room,44,91,0,,,146,353,0,
967313801765148388,Rental unit in Boston · 1 bedroom · 1 bed · 0 shared baths,297860058,Ferran,,Allston,42.35967691411263,-71.12955169822716,Private room,48,91,0,,,146,191,0,
