id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52189312,Rental unit in Jersey City · ★3.63 · 1 bedroom · 2 beds · 1 bath,319005137,Robert,,Ward E (councilmember James Solomon),40.72419,-74.04644,Entire home/apt,299,3,7,2023-12-04,0.60,41,0,7,
52208070,Rental unit in Jersey City · ★4.89 · 1 bedroom · 2 beds · 1 bath,219261323,Irfan,,Ward A (councilmember Denise Ridley),40.69963,-74.09815,Entire home/apt,103,1,46,2023-12-08,1.86,1,76,38,
52220435,Condo in Jersey City · 2 bedrooms · 3 beds · 1 bath,11606215,Sonni,,Ward C (councilmember Richard Boggiano),40.7398,-74.05086,Entire home/apt,80,45,2,2022-05-31,0.08,5,9,0,
52248331,Home in Jersey City · ★4.80 · 3 bedrooms · 3 beds · 2 baths,38078874,Sammi (Xiao),,Ward F (councilmember Jermaine D. Robinson),40.71541,-74.0766,Entire home/apt,288,2,30,2023-11-26,1.10,4,92,15,STR-000771-2023
52283993,Loft in Jersey City · ★4.42 · 1 bedroom · 1 bed · 1 shared bath,182363374,Jimmy,,Ward D (councilmember Michael Yun),40.74773,-74.04057,Private room,57,25,12,2023-07-29,0.48,15,111,4,
52318257,Rental unit in Jersey City · ★4.69 · 1 bedroom · 1 bed · 1 bath,401276090,Felix And Ana,,Ward D (councilmember Michael Yun),40.74975,-74.04131,Entire home/apt,117,1,85,2023-12-08,3.10,2,82,28,
52383027,Rental unit in Jersey City · ★4.50 · 2 bedrooms · 3 beds · 1 bath,424000645,Lam,,Ward E (councilmember James Solomon),40.71807,-74.04263,Entire home/apt,,30,10,2023-04-28,0.38,4,0,2,
52385361,Rental unit in Jersey City · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,284879838,Temitope,,Ward A (councilmember Denise Ridley),40.7,-74.09121,Private room,40,21,16,2023-11-14,0.59,6,264,7,
52428983,Rental unit in Jersey City · ★4.94 · 1 bedroom · 1 bed · 1 bath,86535657,Steve,,Ward E (councilmember James Solomon),40.72766,-74.04012,Entire home/apt,172,2,17,2023-11-30,0.79,1,128,7,
52437754,Rental unit in Jersey City · ★4.50 · 1 bedroom · 1 bed · 1 bath,52586141,Lance,,Ward F (councilmember Jermaine D. Robinson),40.70212,-74.07828,Entire home/apt,125,30,4,2023-10-01,0.19,2,320,2,
