id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51725229,Rental unit in Woodbury · ★5.0 · 1 bedroom · 1 bed · 1 bath,22648323,National,,Washington,44.88791,-92.95017,Entire home/apt,,5,3,2023-01-02,0.11,6,0,1,
51726307,Home in Buffalo · ★5.0 · Studio · 1 bed · 1 private bath,199218733,John,,Wright,45.18306,-93.88396,Private room,49,1,49,2023-11-12,1.81,1,0,18,
51748853,Home in Stillwater · ★4.82 · 1 bedroom · 2 beds · 1 private bath,83502604,Lara,,Washington,45.05197,-92.82875,Private room,219,1,16,2023-10-01,1.09,1,0,12,
51765336,Home in North Branch · ★4.84 · 1 bedroom · 1 bed · 1 private bath,136936024,Renee,,Chisago,45.45281,-92.9175,Private room,47,1,31,2023-11-29,4.01,1,257,31,
51773023,Home in White Bear Lake · ★4.64 · 1 bedroom · 1 bath,363313792,Eric,,Ramsey,45.06477,-93.00134,Entire home/apt,125,1,53,2023-10-09,1.90,1,260,19,
51779685,Rental unit in Minneapolis · ★4.86 · 1 bedroom · 1 bed · 1 bath,240429779,Julieta,,Hennepin,45.004257,-93.43187,Entire home/apt,88,2,58,2023-10-11,2.06,1,29,20,
51803745,Home in Minneapolis · ★4.92 · 1 bedroom · 3 beds · 1 bath,134502592,Nick And Laura,,Hennepin,44.95789,-93.27751,Entire home/apt,164,2,87,2023-11-28,3.14,2,79,37,STR-395574
51804462,Guest suite in Brooklyn Park · ★4.97 · 1 bedroom · 1 bed · 1 bath,83936157,Kat,,Hennepin,45.12911,-93.35088,Entire home/apt,65,5,39,2023-11-25,1.40,1,33,13,
51820995,Condo in Saint Paul · ★4.92 · 2 bedrooms · 2 beds · 2 baths,67750023,John,,Ramsey,44.94712,-93.11776,Entire home/apt,158,2,74,2023-11-26,2.97,1,166,25,20210002139
51821619,Rental unit in Minneapolis · 1 bedroom · 2 beds · 1 bath,415502080,Azeem Khan,,Hennepin,44.981808,-93.263817,Entire home/apt,65,30,0,,,1,0,0,
51826158,Home in Big Lake · ★4.50 · 3 bedrooms · 5 beds · 1 bath,340441161,Katie,,Sherburne,45.39314,-93.74567,Entire home/apt,300,2,10,2023-07-05,0.53,1,365,2,
51840681,Rental unit in Minneapolis · ★4.73 · 1 bedroom · 1 bed · 1 bath,57655643,Chris,,Hennepin,44.971375,-93.264816,Entire home/apt,73,2,79,2023-12-15,2.82,23,93,31,Lic-120999
51856606,Guest suite in Minneapolis · ★4.98 · 1 bedroom · 1 bed · 1 bath,62836553,Raevhann,,Hennepin,44.93484,-93.23463,Entire home/apt,86,2,148,2023-12-18,7.99,1,0,83,Exempt
51869988,Home in Shakopee · ★4.50 · Studio · 4 beds · 0 baths,24051954,Minnestay,,Scott,44.73011,-93.50021,Entire home/apt,336,1,12,2023-11-20,0.47,100,283,5,
51870680,Campsite in Shafer · ★4.95 · Half-bath,127755222,Dan,,Chisago,45.39812,-92.69232,Entire home/apt,45,2,20,2023-09-24,0.72,5,365,7,
51885372,Guest suite in Shoreview · ★4.86 · 2 bedrooms · 3 beds · 1 bath,420273218,James & Billie Jo,,Ramsey,45.06672,-93.10669,Entire home/apt,90,3,64,2023-11-25,2.30,1,161,24,
51888099,Rental unit in Minneapolis · ★4.57 · Studio · 1 bed · 1 bath,224848507,Sonder (Minneapolis/St. Paul),,Hennepin,44.97286,-93.26593,Entire home/apt,97,2,36,2023-11-18,1.38,36,0,16,STR-399571
51888160,Rental unit in Minneapolis · ★4.66 · 1 bedroom · 2 beds · 1 bath,224848507,Sonder (Minneapolis/St. Paul),,Hennepin,44.9742,-93.26536,Entire home/apt,157,2,108,2023-12-05,4.00,36,240,43,STR-399571
51891871,Home in Minneapolis · ★4.93 · 4 bedrooms · 5 beds · 1 bath,38104806,Ann,,Hennepin,44.96155,-93.30766,Entire home/apt,200,2,44,2023-11-19,1.59,1,0,19,STR-399461
51894616,Home in Minneapolis · ★4.74 · 3 bedrooms · 4 beds · 2 baths,53117854,Ross,,Hennepin,45.03538,-93.24792,Entire home/apt,258,3,42,2023-11-14,1.53,4,264,20,
51940944,Home in Savage · ★4.81 · 3 bedrooms · 4 beds · 2.5 baths,109650879,Cheryl,,Scott,44.74875762427834,-93.38889902249456,Private room,105,2,26,2023-10-22,1.41,3,27,23,
51963146,Rental unit in Minneapolis · ★4.82 · Studio · 1 bath,178308489,Michael,,Hennepin,44.97249,-93.27024,Entire home/apt,45,1,139,2023-12-06,5.13,3,0,100,STR-396220
51969660,Home in Saint Paul · ★4.98 · 4 bedrooms · 10 beds · 3.5 baths,408004940,Infinity,,Ramsey,44.9572,-93.01551,Entire home/apt,260,3,121,2023-12-03,4.39,4,0,54,
52003909,Rental unit in Saint Paul · ★4.89 · 2 bedrooms · 2 beds · 1 bath,231025200,Jason,,Ramsey,44.93368,-93.08407,Entire home/apt,105,1,75,2023-12-03,4.30,1,0,56,
52012035,Rental unit in Minneapolis · ★5.0 · 1 bedroom · 1 bed · 1 bath,2632483,Steven,,Hennepin,44.96214,-93.28463,Entire home/apt,79,3,4,2023-11-02,1.09,10,166,4,STR-390283
52012139,Rental unit in Minneapolis · ★4.97 · 1 bedroom · 2 beds · 1 bath,2632483,Steven,,Hennepin,44.96125,-93.28678,Entire home/apt,81,3,33,2023-11-14,1.67,10,174,7,STR-390283
52012726,Rental unit in Minneapolis · ★4.95 · 1 bedroom · 2 beds · 1 bath,2632483,Steven,,Hennepin,44.96084,-93.2846,Entire home/apt,88,3,19,2023-11-26,1.17,10,180,10,STR-390283
52012804,Rental unit in Minneapolis · ★4.95 · Studio · 1 bed · 1 bath,2632483,Steven,,Hennepin,44.96263,-93.28534,Entire home/apt,77,3,20,2023-11-12,0.85,10,0,7,STR-390283
52013321,Rental unit in Minneapolis · ★4.89 · Studio · 1 bed · 1 bath,2632483,Steven,,Hennepin,44.96073,-93.28458,Entire home/apt,89,3,44,2023-11-27,2.63,10,364,30,STR-390283
52013404,Rental unit in Minneapolis · ★4.85 · 1 bedroom · 1 bed · 1 bath,2632483,Steven,,Hennepin,44.9607,-93.28692,Entire home/apt,79,3,27,2023-11-12,1.53,10,180,13,STR-390283
52013473,Rental unit in Minneapolis · ★4.76 · Studio · 1 bed · 1 bath,2632483,Steven,,Hennepin,44.96071,-93.28556,Entire home/apt,79,3,25,2023-11-25,1.24,10,180,7,STR-390283
52025527,Home in Minneapolis · ★4.77 · 2 bedrooms · 2 beds · 1.5 baths,198204570,Paul,,Hennepin,44.90494,-93.22934,Entire home/apt,136,1,77,2023-11-13,3.05,1,352,29,STR-397420
52041788,Cottage in Roseville · 3 bedrooms · 4 beds · 1 bath,421334810,Siobhan,,Ramsey,44.99966,-93.11102,Entire home/apt,300,3,0,,,4,360,0,
